Timestamp,Valor
2025-11-14 14:26:36.579,24.23°C
2025-11-14 14:26:37.084,18.9°C
2025-11-14 14:26:37.584,22.35°C
2025-11-14 14:26:38.085,27.79°C
2025-11-14 14:26:38.586,24.46°C
2025-11-14 14:26:39.087,26.13°C
2025-11-14 14:26:39.588,24.95°C
2025-11-14 14:26:40.091,24.33°C
2025-11-14 14:26:40.592,25.25°C
2025-11-14 14:26:41.092,22.54°C
2025-11-14 14:26:41.594,26.51°C
2025-11-14 14:26:42.094,22.76°C
2025-11-14 14:26:42.595,18.93°C
2025-11-14 14:26:43.096,21.38°C
2025-11-14 14:26:43.597,25.46°C
2025-11-14 14:26:44.098,19.52°C
2025-11-14 14:26:44.613,27.7°C
2025-11-14 14:26:45.116,26.68°C
2025-11-14 14:26:45.617,19.05°C
2025-11-14 14:26:46.117,24.32°C
