Timestamp,Valor
2025-11-20 15:16:33.168,25.02°C
2025-11-20 15:16:33.669,19.94°C
2025-11-20 15:16:34.170,24.02°C
2025-11-20 15:16:34.672,24.39°C
2025-11-20 15:16:35.172,23.9°C
2025-11-20 15:16:35.673,22.93°C
2025-11-20 15:16:36.174,24.23°C
2025-11-20 15:16:36.674,25.38°C
2025-11-20 15:16:37.175,24.44°C
2025-11-20 15:16:37.676,18.29°C
2025-11-20 15:16:38.177,18.64°C
2025-11-20 15:16:38.678,22.09°C
2025-11-20 15:16:39.179,26.79°C
2025-11-20 15:16:39.680,21.36°C
2025-11-20 15:16:40.180,21.78°C
2025-11-20 15:16:40.682,23.55°C
2025-11-20 15:16:41.182,27.36°C
2025-11-20 15:16:41.683,23.05°C
2025-11-20 15:16:42.184,24.36°C
2025-11-20 15:16:42.686,26.7°C
